date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:20:42	208/208	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2018%20May%202018%2020:20:07%20GMT	http://www.premioartecultura.it/robots.txt		(from )
22:20:42	7645/7645	---M--	200	added ('OK')	text/html	date:Mon,%2023%20May%202011%2014:16:54%20GMT	http://www.premioartecultura.it/	www.premioartecultura.it/index.html	(from )
22:20:43	1040/1040	---M--	200	added ('OK')	image/jpeg	date:Tue,%2027%20Mar%202007%2011:49:33%20GMT	http://www.premioartecultura.it/img/00000001_r1_c1.jpg	www.premioartecultura.it/img/00000001_r1_c1.jpg	(from http://www.premioartecultura.it/)
22:20:44	4390/4390	---M--	200	added ('OK')	image/jpeg	date:Sun,%2017%20May%202009%2000:11:17%20GMT	http://www.premioartecultura.it/img/00000001_r1_c3.jpg	www.premioartecultura.it/img/00000001_r1_c3.jpg	(from http://www.premioartecultura.it/)
22:20:45	7645/7645	---M--	200	added ('OK')	text/html	date:Mon,%2023%20May%202011%2014:16:54%20GMT	http://www.premioartecultura.it/index.htm	www.premioartecultura.it/index-2.html	(from http://www.premioartecultura.it/)
22:20:48	36227/36227	---M--	200	added ('OK')	image/jpeg	date:Fri,%2013%20May%202011%2008:10:02%20GMT	http://www.premioartecultura.it/img/hp_bagnaia_r1_c4.jpg	www.premioartecultura.it/img/hp_bagnaia_r1_c4.jpg	(from http://www.premioartecultura.it/)
22:20:48	6796/6796	---M--	200	added ('OK')	text/html	date:Fri,%2013%20May%202011%2008:11:11%20GMT	http://www.premioartecultura.it/index03.htm	www.premioartecultura.it/index03.html	(from http://www.premioartecultura.it/)
22:20:49	3513/3513	---M--	200	added ('OK')	image/jpeg	date:Sun,%2017%20May%202009%2000:11:34%20GMT	http://www.premioartecultura.it/img/presentazione.jpg	www.premioartecultura.it/img/presentazione.jpg	(from http://www.premioartecultura.it/)
22:20:49	7385/7385	---M--	200	added ('OK')	text/html	date:Fri,%2013%20May%202011%2008:11:12%20GMT	http://www.premioartecultura.it/index04.htm	www.premioartecultura.it/index04.html	(from http://www.premioartecultura.it/)
22:20:50	2729/2729	---M--	200	added ('OK')	image/jpeg	date:Sun,%2017%20May%202009%2000:11:20%20GMT	http://www.premioartecultura.it/img/edizione2004.jpg	www.premioartecultura.it/img/edizione2004.jpg	(from http://www.premioartecultura.it/)
22:20:51	7292/7292	---M--	200	added ('OK')	text/html	date:Fri,%2013%20May%202011%2008:11:14%20GMT	http://www.premioartecultura.it/index05.htm	www.premioartecultura.it/index05.html	(from http://www.premioartecultura.it/)
22:20:52	3073/3073	---M--	200	added ('OK')	image/jpeg	date:Sun,%2017%20May%202009%2000:11:21%20GMT	http://www.premioartecultura.it/img/edizione2005.jpg	www.premioartecultura.it/img/edizione2005.jpg	(from http://www.premioartecultura.it/)
22:20:53	7871/7871	---M--	200	added ('OK')	text/html	date:Fri,%2013%20May%202011%2008:11:15%20GMT	http://www.premioartecultura.it/index06.htm	www.premioartecultura.it/index06.html	(from http://www.premioartecultura.it/)
22:20:54	2467/2467	---M--	200	added ('OK')	image/jpeg	date:Sun,%2017%20May%202009%2000:11:22%20GMT	http://www.premioartecultura.it/img/edizione2006.jpg	www.premioartecultura.it/img/edizione2006.jpg	(from http://www.premioartecultura.it/)
22:20:55	8047/8047	---M--	200	added ('OK')	text/html	date:Fri,%2013%20May%202011%2008:11:16%20GMT	http://www.premioartecultura.it/index07.htm	www.premioartecultura.it/index07.html	(from http://www.premioartecultura.it/)
22:20:56	2360/2360	---M--	200	added ('OK')	image/jpeg	date:Sun,%2017%20May%202009%2000:11:23%20GMT	http://www.premioartecultura.it/img/edizione2007.jpg	www.premioartecultura.it/img/edizione2007.jpg	(from http://www.premioartecultura.it/)
22:20:57	7653/7653	---M--	200	added ('OK')	text/html	date:Fri,%2013%20May%202011%2008:11:17%20GMT	http://www.premioartecultura.it/index08.htm	www.premioartecultura.it/index08.html	(from http://www.premioartecultura.it/)
22:20:58	2766/2766	---M--	200	added ('OK')	image/jpeg	date:Sun,%2017%20May%202009%2000:11:24%20GMT	http://www.premioartecultura.it/img/edizione2008.jpg	www.premioartecultura.it/img/edizione2008.jpg	(from http://www.premioartecultura.it/)
22:20:59	7682/7682	---M--	200	added ('OK')	text/html	date:Fri,%2013%20May%202011%2008:11:17%20GMT	http://www.premioartecultura.it/index09.htm	www.premioartecultura.it/index09.html	(from http://www.premioartecultura.it/)
22:21:00	3093/3093	---M--	200	added ('OK')	image/jpeg	date:Sun,%2017%20May%202009%2000:11:26%20GMT	http://www.premioartecultura.it/img/edizione2009s.jpg	www.premioartecultura.it/img/edizione2009s.jpg	(from http://www.premioartecultura.it/)
22:21:01	2517/2517	---M--	200	added ('OK')	image/jpeg	date:Tue,%2027%20Mar%202007%2011:49:44%20GMT	http://www.premioartecultura.it/img/contatti_r8_c4.jpg	www.premioartecultura.it/img/contatti_r8_c4.jpg	(from http://www.premioartecultura.it/)
22:21:02	21006/21006	---M--	200	added ('OK')	text/html	date:Fri,%2013%20May%202011%2008:10:48%20GMT	http://www.premioartecultura.it/biografiamonti.htm	www.premioartecultura.it/biografiamonti.html	(from http://www.premioartecultura.it/)
22:21:03	2130/2130	---M--	200	added ('OK')	image/jpeg	date:Tue,%2027%20Mar%202007%2011:49:45%20GMT	http://www.premioartecultura.it/img/contatti_r9_c4.jpg	www.premioartecultura.it/img/contatti_r9_c4.jpg	(from http://www.premioartecultura.it/)
22:21:04	5019/5019	---M--	200	added ('OK')	text/html	date:Fri,%2013%20May%202011%2008:11:27%20GMT	http://www.premioartecultura.it/posizione.htm	www.premioartecultura.it/posizione.html	(from http://www.premioartecultura.it/)
22:21:05	3069/3069	---M--	200	added ('OK')	image/jpeg	date:Tue,%2027%20Mar%202007%2011:49:50%20GMT	http://www.premioartecultura.it/img/hp_bagnaia_r17_c4.jpg	www.premioartecultura.it/img/hp_bagnaia_r17_c4.jpg	(from http://www.premioartecultura.it/)
22:21:06	5004/5004	---M--	200	added ('OK')	text/html	date:Fri,%2013%20May%202011%2008:11:01%20GMT	http://www.premioartecultura.it/contatti.htm	www.premioartecultura.it/contatti.html	(from http://www.premioartecultura.it/)
